"country_id","bank_code","swift","bank_name"
"ES","0487","GBMNESMMXXX","BANCO MARE NOSTRUM, S.A."
"ES","0488","BFASESMMXXX","BANCO FINANCIERO Y DE AHORROS, S.A."
"ES",1000,"ICROESMMXXX","INSTITUTO DE CREDITO OFICIAL"
"ES",1113,"BSUDESM1XXX","BANQUE SUDAMERIS"
"ES",1116,"SCSIESM1XXX","BANQUE SCANDINAVE EN SUISSE"
"ES",1127,"SCBLESM1XXX","STANDARD CHARTERED BANK"
"ES",1156,"IRVTESM1XXX","THE BANK OF NEW YORK MELLON"
"ES",1164,"ESBFESM1XXX","ESPIRITO SANTO BANK OF FLORIDA"
"ES",1168,"BNACESM1XXX","BANCO NACIONAL DE CUBA"
"ES",1173,"COURESB1XXX","BANQUE COURTOIS"
"ES",1182,"HYVEESM1XXX","UNICREDIT BANK AG"
"ES",1191,"HANDES21XXX","SVENSKA HANDELSBANKEN"
"ES",1193,"PKBSES21XXX","PKB PRIVATBANK AG."
"ES",1196,"AEEVESM1XXX","BANCO DE LAS ACTIVIDADES ECONOMICAS EXTERIORES"
"ES",1197,"BILLESB1XXX","BANQUE INTERNATIONALE A LUXEMBOURG"
"ES",1199,"CRGEESM1XXX","BANCA CARIGE SPA-CASSA RISPARMIO GENOVA E IMPERIA"
"ES",1209,"ABCMESM1XXX","ALLIED BANKING CORPORATION"
"ES",1210,"REDEESM1XXX","BANQUE REGIONALE D'ESCOMPTE ET DE DEPOTS"
"ES",1221,"PNBMESM1XXX","PHILIPPINE NATIONAL BANK, S.A."
"ES",1224,"RHRHESM1XXX","RHEINHYP RHEINISCHE HYPOTHEKENBANK A.G."
"ES",1227,"BSSAESB1XXX","BANQUE SCS ALLIANCE"
"ES",1231,"BOCAES21XXX","BANCO CANARIAS DE VENEZUELA, CA"
"ES",1233,"BCMAESM1XXX","ATTIJARIWAFA BANK"
"ES",1234,"PRBAESM1XXX","BANCO DE LA PROVINCIA DE BUENOS AIRES"
"ES",1236,"HELAESM1XXX","LANDESBANK HESSEN-THUERINGEN GIROZENTRALE"
"ES",1238,"BIMEESM1XXX","BANCO INTERNACIONAL, S.A."
"ES",1240,"LOFPESB1XXX","LONDON FORFAITING A PARIS, S.A."
"ES",1241,"STOLESM1XXX","BANCO SBS-AGRO"
"ES",1242,"SOLAESB1XXX","LANDESBANK BADEN-WÃœRTTEMBERG"
"ES",1245,"BEIVESM1XXX","BES INVESTIMENTO SA"
"ES",1248,"WAFAESM1XXX","WAFABANK"
"ES",1249,"NPBSES21XXX","NORWICH AND PETERBOROUGH BUILDING SOCIETY"
"ES",1251,"IHZUES21XXX","PRIVATBANK IHAG ZURICH"
"ES",1255,"AARBESM1XXX","AAREAL BANK AG"
"ES",1451,"CRCGESB1XXX","CAISSE REGIONALE CREDIT AGRICOLE MUTUEL SUD MED,SE"
"ES",1454,"NEWGESM1XXX","NEWEDGE GROUP, S.E."
